locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
slr1471;NA;slr1471 inner membrane protein;"K03217 yidC; YidC/Oxa1 family membrane protein insertase";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
slr1531;ffh;"slr1531 ffh; signal recognition particle protein";"K03106 SRP54; signal recognition particle subunit SRP54 [EC:3.6.5.4]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
slr1723;lacG;"slr1723 lacG; lactose transport system permease protein; LacG";"K17246 chiG; putative chitobiose transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1735;bgtA;slr1735 ABC transporter;"K17063 bgtA; arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:7.4.2.1]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1776;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr1794;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr1881;natE;"slr1881 livF; high-affinity branched-chain amino acid transport ATP-binding protein; BraG";"K11958 natE; neutral amino acid transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1897;srrA;"slr1897 srrA; SrrA";"K17244 chiE; putative chitobiose transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr1919;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
slr1978;NA;slr1978 unknown protein;"K16785 ecfT; energy-coupling factor transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr2043;zntC;"slr2043 zntC; periplasmic binding protein component of an ABC type zinc uptake transporter";"K09815 znuA; zinc transport system substrate-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr2044;;slr2044 ABC transporter;"K09817 znuC; zinc transport system ATP-binding protein [EC:7.2.2.-]";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr2045;;slr2045 hypothetical protein;"K09816 znuB; zinc transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr2102;ftsY;"slr2102 ftsY; cell division protein; FtsY";"K03110 ftsY; fused signal recognition particle receptor";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
slr2107;kpsM;"slr2107 kpsM; polysialic acid transport protein; KpsM";"K09690 ABC-2.LPSE.P; lipopolysaccharide transport system permease protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr2108;kpsT;"slr2108 kpsT; polysialic acid transport ATP-binding protein; KpsT";"K09691 ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;ABC transporters;;Environmental Information Processing - Membrane transport - ABC transporters
slr6042;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
ssl2823;NA;ssl2823 hypothetical protein;"K03116 tatA; sec-independent protein translocase protein TatA";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
ssl3335;secE;"ssl3335 secE; secretory protein; SecE";"K03073 secE; preprotein translocase subunit SecE";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
ssr2857;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn02010;Membrane transport;Membrane transport;;Environmental Information Processing - Membrane transport - 
ssr3307;ycf47;"ssr3307 ycf47; hypothetical protein";"K03075 secG; preprotein translocase subunit SecG";syn00001 KEGG Orthology;Environmental Information Processing;Membrane transport;Environmental Information Processing;PATH:syn03070;Membrane transport;Bacterial secretion system;;Environmental Information Processing - Membrane transport - Bacterial secretion system
cr1RNA;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Protein families;Brite Hierarchies;BR:syn02048;Protein families: signaling and cellular processes;Protein families: signaling and cellular processes;;Brite Hierarchies - Protein families: signaling and cellular processes - 
cr2RNA;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Protein families;Brite Hierarchies;BR:syn02048;Protein families: signaling and cellular processes;Protein families: signaling and cellular processes;;Brite Hierarchies - Protein families: signaling and cellular processes - 
cr3RNA;Manually added;;;syn00001 KEGG Orthology;Environmental Information Processing;Protein families;Brite Hierarchies;BR:syn02048;Protein families: signaling and cellular processes;Protein families: signaling and cellular processes;;Brite Hierarchies - Protein families: signaling and cellular processes - 
sll0034;NA;sll0034 unknown protein;"K07260 vanY; zinc D-Ala-D-Ala carboxypeptidase [EC:3.4.17.14]";syn00001 KEGG Orthology;Environmental Information Processing;Protein families;Brite Hierarchies;BR:syn01504;Protein families: signaling and cellular processes;Antimicrobial resistance genes;;Brite Hierarchies - Protein families: signaling and cellular processes - Antimicrobial resistance genes
sll0038;pixG, pisG, taxP1, rer1;sll0038 PatA subfamily;"K11522 pixG; two-component system, chemotaxis family, response regulator PixG";syn00001 KEGG Orthology;Environmental Information Processing;Protein families;Brite Hierarchies;BR:syn02035;Protein families: signaling and cellular processes;Bacterial motility proteins;;Brite Hierarchies - Protein families: signaling and cellular processes - Bacterial motility proteins
sll0038;pixG, pisG, taxP1, rer1;sll0038 PatA subfamily;"K11522 pixG; two-component system, chemotaxis family, response regulator PixG";syn00001 KEGG Orthology;Environmental Information Processing;Protein families;Brite Hierarchies;BR:syn02022;Protein families: signaling and cellular processes;Two-component system;;Brite Hierarchies - Protein families: signaling and cellular processes - Two-component system
sll0039;pixH, pisH;sll0039 CheY subfamily;"K11523 pixH; two-component system, chemotaxis family, response regulator PixH";syn00001 KEGG Orthology;Environmental Information Processing;Protein families;Brite Hierarchies;BR:syn02035;Protein families: signaling and cellular processes;Bacterial motility proteins;;Brite Hierarchies - Protein families: signaling and cellular processes - Bacterial motility proteins
